,id,permalink,username,to,text,date,retweets,favorites,replies,mentions,hashtags,geo
0,1173022647925575680,https://twitter.com/meta3investor/status/1173022647925575680,meta3investor,johngjelly,VCs never point fingers at other VCs when things go bad. It ruins future deal flow.,2019-09-14 23:56:07+00:00,0,1,1,,,
1,1173022605588086784,https://twitter.com/lefthandwave/status/1173022605588086784,lefthandwave,hallac,"Come on #WeWork or #WeWTF crazzy Bulkshit valuation on IPO , free money to long. Think! Does it contribute to people’s wellbeing? NO it’s a pump and dump IPO! @profgalloway",2019-09-14 23:55:57+00:00,0,0,0,@profgalloway,#WeWork #WeWTF,
2,1173021859882971138,https://twitter.com/daveheckathorn/status/1173021859882971138,daveheckathorn,,* “Inherent risk:” Rating agencies have had doubts about WeWork for years http://feedproxy.google.com/~r/trdnews/~3/yqz9ZXOmqXI/ … @trdny #CRE,2019-09-14 23:52:59+00:00,0,1,1,@trdny,#CRE,
3,1173020761004679168,https://twitter.com/Gareth_Stephen5/status/1173020761004679168,Gareth_Stephen5,jasonlk,Man Cvent pissed you off. Wework did me dirty the other day. Karma gods seem to have my back on that one though. #IPNo,2019-09-14 23:48:37+00:00,0,0,0,,#IPNo,
4,1173020590170673152,https://twitter.com/garybasin/status/1173020590170673152,garybasin,profgalloway,"They won't be able to dump at these low prices, will just be a slow illiquid grind down",2019-09-14 23:47:57+00:00,0,0,0,,,
5,1173020431818928128,https://twitter.com/MindShareWork/status/1173020431818928128,MindShareWork,,Congrats! WeWork has announced it will list its shares on the Nasdaq index. #coworking #growth #communityhttps://markets.businessinsider.com/news/stocks/the-we-company-ipo-wework-confirms-nasdaq-listing-governance-changes-2019-9-1028522885 …,2019-09-14 23:47:19+00:00,0,2,2,,#coworking #growth #communityhttps,
6,1173020336054571011,https://twitter.com/garybasin/status/1173020336054571011,garybasin,profgalloway,T-minus 12 months to SEC investigation,2019-09-14 23:46:56+00:00,0,0,0,,,
7,1173019960437874688,https://twitter.com/therealjunto/status/1173019960437874688,therealjunto,ojaz12,"93 is overstated (ARM mark is hilarious). Vision may work but I’m skeptical. Investors are too hence Softbank’s 55% discount to NAV. Back to my original point, if buying WeWork at $47B isn’t momo, I don’t know what is. Lastly, I’m positive on the stock if anything (love baba).",2019-09-14 23:45:26+00:00,0,0,0,,,
8,1173019923792183297,https://twitter.com/REITs_Nareit/status/1173019923792183297,REITs_Nareit,,REITs have limited exposure to WeWork - http://bit.ly/2A3i5Wd pic.twitter.com/bPuKFN9rNq,2019-09-14 23:45:18+00:00,0,1,1,,,
9,1173019676307333121,https://twitter.com/startupnws/status/1173019676307333121,startupnws,,WeWork announces sweeping corporate governance changes in amended S-1; sources: WeWork is now seeking a valuation as low as $10B to $12B in its IPO https://www.techmeme.com/190913/p9##Ipo,2019-09-14 23:44:19+00:00,0,0,0,,# #Ipo,
