tweet_id	name	text	mined_at	created_at	retweets	favorites	hashtags	mentions	location
1190055850225917952	dinomite	Those toxic phone booths hat are the least of WeWork’s problems? They designed them in-house. https://www.businessinsider.com/weworks-toxic-phone-booths-were-created-by-wework-2019-10 …	2019-11-11 16:21:50.103332	2019-10-31 23:59:59+00:00	0	1			
1190055804638040065	newsrust	WeWork’s Ousted C.E.O. Adam Neumann Is Accused of Pregnancy Discrimination https://ift.tt/36jesL3	2019-11-11 16:21:50.103336	2019-10-31 23:59:48+00:00	0	0			
1190055469420892161	HEDGEenergy	WeWork’s ex-CEO faces pregnancy discrimination complaint http://tradeforprofit.net/2019/10/weworks-ex-ceo-faces-pregnancy-discrimination-complaint/ …pic.twitter.com/y06ztVao88	2019-11-11 16:21:50.103337	2019-10-31 23:58:28+00:00	0	0			
1190055287241052160	paulwiggins	WeWork, former chief executive Adam Neumann accused of pregnancy discrimination https://reut.rs/2q4N3f3	2019-11-11 16:21:50.103338	2019-10-31 23:57:45+00:00	1	0			
1190054626285912066	LogisticsBrief	WeWork Or Not, Logistics Technology Can Work by @freightos http://dlvr.it/RHNBZW #logistics	2019-11-11 16:21:50.103339	2019-10-31 23:55:07+00:00	0	1	#logistics	@freightos	
1190054331455823872	yosoyluisito	Daily situation at WeWork https://twitter.com/mattbooshell/status/1189333592427651073 …	2019-11-11 16:21:50.103340	2019-10-31 23:53:57+00:00	0	0			
1190054235062312973	airiters	WeWork’s Ousted CEO Adam Neumann Sidelined a Pregnant Employee, She Claims http://www.airiters.com/weworks-ousted-ceo-adam-neumann-sidelined-a-pregnant-employee-she-claims/ …	2019-11-11 16:21:50.103340	2019-10-31 23:53:34+00:00	0	0			
1190054230884786177	newsjsUS	WeWork, Former CEO Adam Neumann Accused of Rampant Pregnancy and Gender Discrimination https://ift.tt/2qUf6y7	2019-11-11 16:21:50.103341	2019-10-31 23:53:33+00:00	0	0			
1190054165768278016	falahnewss	WeWork, Former CEO Adam Neumann Accused of Rampant Pregnancy and Gender Discrimination – Gizmodo https://falah.biz/wework-former-ceo-adam-neumann-accused-of-rampant-pregnancy-and-gender-discrimination-gizmodo/ …pic.twitter.com/9lV1kbnyoW	2019-11-11 16:21:50.103342	2019-10-31 23:53:17+00:00	0	0			
1190053586824241152	ADTACKLV	We had a Spooktacular time decorating @wework! Have a safe and Happy Halloween everyone!! pic.twitter.com/BwYX51Knce	2019-11-11 16:21:50.103343	2019-10-31 23:50:59+00:00	0	1		@wework	
1190053432155086848	RitchieJodi	WeWork CEO Adam Neumann's chief of staff was fired after he 'called her maternity leave a vacation and she stopped traveling on his plane because he smoked marijuana' via https://dailym.ai/ios https://mol.im/a/7636705	2019-11-11 16:21:50.103344	2019-10-31 23:50:23+00:00	0	2			
1190053429416202246	mynaijablog	Former WeWork employee accuses co-founder of pregnancy discimination https://mynaijablog.com/news/world/former-wework-employee-accuses-co-founder-of-pregnancy-discimination/ …	2019-11-11 16:21:50.103345	2019-10-31 23:50:22+00:00	0	0			
1190053183940259840	JDerevyanny	Before WeWork, this had a credible shot at being a thriving business, but now that the capital markets have tightened up, it's a different world https://twitter.com/Guruleaks1/status/1190047252645076992 …	2019-11-11 16:21:50.103346	2019-10-31 23:49:23+00:00	0	1			
1190052910010392576	newsrantz	Former WeWork employee accuses co-founder of pregnancy discimination https://newsrantz.com/world/2019/11/01/former-wework-employee-accuses-co-founder-of-pregnancy-discimination …	2019-11-11 16:21:50.103347	2019-10-31 23:48:18+00:00	0	0			
