created_at	favourite_count	hashtags	location	mined_at	name	retweet_count	screen_name	source_device	status_count	text	tweet_id
2019-11-04 23:37:24.000000	0	[]		2019-11-04 15:57:52.779631	Daryl Tremblay Gender: U for Unique	0	DarylT	Twitter Web App	91381	@CNBCFastMoney @CNBC @LoupVentures @munster_gene $UBER has never made a profit. This is why retarded IPOs like WeWo… https://t.co/wsQIgzaqxG	1191499719190515712
2019-11-04 23:33:38.000000	0	[]		2019-11-04 15:57:52.779637	Azzaadi Media	0	azzaadimedia	ContentStudio.io	28732	SoftBank Group Corp  is expected to outline tougher governance standards and restrictions on dual-class share struc… https://t.co/HknPu8BpbL	1191498770351054848
2019-11-04 23:12:02.000000	0	[]		2019-11-04 15:57:52.779639	Asif	0	A51FR3D	dlvr.it	57867	SoftBank to tighten governance at start-ups after WeWork debacle: SoftBank Group Corp is expected to outline toughe… https://t.co/4RorehYUEb	1191493334885228544
2019-11-04 22:31:00.000000	0	[]		2019-11-04 15:57:52.779640	Michael Spellacy	0	mgspellacy	Qnary.io	1520	There's an important lesson to be learned from @wework: if something looks too good to be true, it probably is.… https://t.co/1SDvP12aky	1191483007741448194
2019-11-04 22:19:30.000000	1	[]		2019-11-04 15:57:52.779642	David Rowland	0	DavidCRowland	Twitter Web App	819	"Just sign me up now for the podcast/book/netflix doc on this wework fiasco
https://t.co/VFHW8UcThO"	1191480113826861056
2019-11-04 22:12:31.000000	0	[]		2019-11-04 15:57:52.779643	J.M. Hamilton	1	jmhamiltonblog	Twitter Web App	376049	RT @VFHIVE: The rise and fall of WeWork has led to a bitter reckoning for the IPO market. But, as @WilliamCohan writes, there may be more b…	1191478357298421766
2019-11-04 22:12:24.000000	0	[]		2019-11-04 15:57:52.779644	Celebrity Teen Scoop	5	celeb_teenscoop	Twitter Web App	2277	RT @VanityFair: The rise and fall of WeWork has led to a bitter reckoning for the IPO market. But, as @WilliamCohan writes, there may be mo…	1191478326206042112
2019-11-04 22:11:34.000000	0	[{'text': 'WeWork', 'indices': [13, 20]}]		2019-11-04 15:57:52.779660	hidflect	0	hidflect	Twitter Web App	8393	One of many. #WeWork didn't even get to IPO. https://t.co/u8auiOFyK1	1191478117358923776
2019-11-04 22:10:16.000000	0	[]		2019-11-04 15:57:52.779661	Saida	5	Stacynoaa	Twitter Web App	3193	RT @VanityFair: The rise and fall of WeWork has led to a bitter reckoning for the IPO market. But, as @WilliamCohan writes, there may be mo…	1191477792493461506
2019-11-04 22:10:10.000000	0	[]		2019-11-04 15:57:52.779663	ill lunatic	5	illlunatic	Twitter for Android	9253	RT @VanityFair: The rise and fall of WeWork has led to a bitter reckoning for the IPO market. But, as @WilliamCohan writes, there may be mo…	1191477764802695169
2019-11-04 22:09:46.000000	1	[]		2019-11-04 15:57:52.779664	The Hive	1	VFHIVE	SocialFlow	14384	The rise and fall of WeWork has led to a bitter reckoning for the IPO market. But, as @WilliamCohan writes, there m… https://t.co/bEvBfo7ls8	1191477666119073797
2019-11-04 22:09:32.000000	5	[]		2019-11-04 15:57:52.779666	VANITY FAIR	5	VanityFair	SocialFlow	115254	The rise and fall of WeWork has led to a bitter reckoning for the IPO market. But, as @WilliamCohan writes, there m… https://t.co/ybgK3OFN6p	1191477603879784449
2019-11-04 22:02:52.000000	1	[]		2019-11-04 15:57:52.779667	Wendy Waters	0	wendy_waters	Twitter Web App	13099	"New from @gwlra Research: A short-term outlook for the coworking sector, following WeWork's cancelled IPO. 

https://t.co/6Y1IleHNDh"	1191475928565719041
2019-11-04 21:27:48.000000	5	[]		2019-11-04 15:57:52.779669	DenverGoneCrazy	0	DenverGoneCrazy	Twitter Web App	387	@charliebilello They'd be the way of WeWork now had they not fleeced retail with that IPO.	1191467102336618501
