,text,sentiment
0,"['for', 'bluster', 'hubris', 'wework', 'still', 'future']",3
1,"['top', 'story', 'some', 'wework', 'board', 'members', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'wsj', 'see']",2
2,"['many', 'company', 'take', 'care', 'one', 'many', 'two', 'but', 'get', 'three', 'align', 'brutally', 'hard', 'easy', 'way', 'appease', 'one', 'group', 'expense', 'another', 'that', 'reward', 'find', 'balance', 'great', 'wework']",2
3,"['wework', 'space', 'like']",1
4,"['wework', 'ipo', 'beware', 'master', 'unicorn', 'wranglers', 'banyanhill', 'twitter', 'news', 'noticias', 'bitcoin', 'cryptocurrency']",2
5,"['geraldbader', 'airbnb', 'wework', 'problem', 'via', 'kate', 'clark', 'via', 'twitter']",2
6,"['true', 'didnt', 'build', 'or', 'change']",1
7,"['fastcompany', 'what', 'venture', 'capital', 'investor', 'need', 'learn', 'mistake', 'wework', 'uber']",1
8,"['what', 'funny', 'medium', 'make', 'look', 'like', 'bold', 'encourage', 'move', 'then', 'later', 'thing', 'go', 'right', 'wework', 'ceo', 'medium', 'contemplates', 'go', 'wrong']",1
9,"['softbank', 'push', 'wework', 'postpone', 'contentious', 'ipo']",1
10,"['airbnb', 'wework', 'problem', 'kateclarktweets']",1
11,"[""softbank's"", 'wework', 'financing', 'would', 'lead', 'adam', ""neumann's"", 'exitsources', 'reuters', 'via', 'nyt']",1
12,"['the', 'day', 'imperious', 'dictatorial', 'ceos', 'rule', 'fear', 'intimidation', 'back', 'board', 'director', 'yes', 'men', 'crony', 'may', 'soon', '3', 'ceos', 'major', 'u', 's', 'business', 'show', 'door', 'week', 'wework', 'adam', 'neumann', 'ebay', 'devin', 'wenig', 'juul', 'kevin', 'burns']",1
13,"['a', 'big', 'question', 'us', 'market', 'whether', 'wework', 'meltdown', 'tip', 'point', 'high', 'growth', 'profit', 'private', 'company', 'the', 'fallout', 'certainly', 'continue', 'massive', 'underperformance', 'among', 'fund', 'invest', 'company', 'one', 'mutual', 'fund', 'stand', 'msegx', '1', '2']",1
14,"['creator', 'creative', 'types', 'personality', 'test', 'illuminates', 'four', 'stage', 'creative', 'process']",2
15,"['venezuelan', 'government', 'could', 'seek', 'confiscate', 'exile', 'home', 'wework', 'insider', 'slam', 'neumann', 'daily', 'digest']",1
16,"['it', 'take', 'unique', 'mix', 'delusion', 'corruption', 'greed', 'egomania', 'ignorance', 'produce', 'wework', 'disaster', 'i', 'think', 'comparison', 'business', 'pour', '18', 'billion', 'sheer', 'fantasy', 'only', 'government', 'typically']",1
17,"[""we're"", 'talk', 'multiple', ""it's"", 'many', 'zero', 'factor', ""it's"", 'probably', 'how', 'many', 'comma', 'number']",2
18,"['wework', 'pull', 'thousand', 'phone', 'booth', 'service', 'formaldehyde', 'scare']",1
19,"['wework', 'throw', 'towel', 'illfated', 'ipo']",1
