,text,sentiment
0,"['for', 'bluster', 'hubris', 'rework', 'still', 'future']",3
1,"['top', 'story', 'some', 'rework', 'board', 'members', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'w', 'see']",2
2,"['many', 'company', 'take', 'care', 'one', 'many', 'two', 'but', 'get', 'three', 'align', 'brutally', 'hard', 'easy', 'way', 'appease', 'one', 'group', 'expense', 'another', 'that', 'reward', 'find', 'balance', 'great', 'rework']",2
3,"['rework', 'space', 'like']",1
4,"['rework', 'po', 'beware', 'master', 'unicorn', 'wranglers', 'banyanhill', 'twitter', 'news', 'notice', 'hitchin', 'cryptocurrency']",2
6,"['geraldbader', 'air', 'rework', 'problem', 'via', 'kate', 'clark', 'via', 'twitter']",2
7,"['true', 'dint', 'build', 'or', 'change']",1
8,"['fastcompany', 'what', 'venture', 'capital', 'investor', 'need', 'learn', 'mistake', 'rework', 'user']",1
10,"['what', 'funny', 'medium', 'make', 'look', 'like', 'bold', 'encourage', 'move', 'then', 'later', 'thing', 'go', 'right', 'rework', 'ceo', 'medium', 'contemplates', 'go', 'wrong']",1
11,"['postbank', 'push', 'rework', 'postpone', 'contentious', 'po']",1
12,"['air', 'rework', 'problem', 'kateclarktweets']",1
13,"[""softbank's"", 'rework', 'financing', 'would', 'lead', 'adam', 'neumann', 'exitsources', 'reuters', 'via']",1
14,"['the', 'day', 'imperious', 'dictatorial', 'ceos', 'rule', 'fear', 'intimidation', 'back', 'board', 'director', 'yes', 'men', 'crony', 'may', 'soon', '3', 'ceos', 'major', 'u', 's', 'business', 'show', 'door', 'week', 'rework', 'adam', 'neumann', 'bay', 'kevin', 'jul', 'kevin', 'burns']",1
15,"['a', 'big', 'question', 'us', 'market', 'whether', 'rework', 'meltdown', 'tip', 'point', 'high', 'growth', 'profit', 'private', 'company', 'the', 'fallout', 'certainly', 'continue', 'massive', 'underperformance', 'among', 'fund', 'invest', 'company', 'one', 'mutual', 'fund', 'stand', 'sex', '1', '2']",1
17,"['creator', 'creative', 'types', 'personality', 'test', 'illuminates', 'four', 'stage', 'creative', 'process']",2
20,"['venezuelan', 'government', 'could', 'seek', 'confiscate', 'exile', 'home', 'rework', 'insider', 'slam', 'neumann', 'daily', 'digest']",1
22,"['it', 'take', 'unique', 'mix', 'delusion', 'corruption', 'greed', 'romania', 'ignorance', 'produce', 'rework', 'disaster', 'i', 'think', 'comparison', 'business', 'pour', '18', 'billion', 'sheer', 'fantasy', 'only', 'government', 'typically']",1
24,"['talk', 'multiple', 'many', 'zero', 'factor', 'probably', 'how', 'many', 'comma', 'number']",2
25,"['rework', 'pull', 'thousand', 'phone', 'booth', 'service', 'formaldehyde', 'scare']",1
26,"['rework', 'throw', 'towel', 'ill-fated', 'po']",1
28,"['postbank', 'reveals', '6', '5', 'billion', 'loss', 'from', 'user', 'rework', 'turmoil']",1
30,"['boston', 'fed', 'rosengarten', 'lower', 'rate', 'could', 'expose', 'work', 'company', 'like', 'rework', 'via']",1
31,"['amazon', 'acquire', 'rework', 'would', 'another', 'power', 'move', 'global', 'domination', 'wonder', 'get', 'reasonable', 'price']",2
34,"['elizabeth', 'holmes', 'jail', 'yet', 'but', 'i', 'start', 'think', 'rework', 'thermos', 'level', 'scam']",1
35,"['many', 'thanks', 'one', 'event', 'sponsor', 'provide', 'chip', 'keep', 'belly', 'full']",2
38,"['merry', 'somerset', 'webb', 'the', 'founder', 'rework', 'woodford', 'asset', 'management', 'able', 'jump', 'ship', 'rich', 'men']",2
39,"['rework', 'meet', 'would', 'support', 'event', 'interest', 'venue', 'space', 'they', '5', 'barcelona', 'other', 'work', 'orcs', 'would', 'first', 'route']",2
40,"['two', 'kind', 'will', 'compass', 'suffer', 'fate', 'rework']",1
42,"['postbank', 'seek', 'control', 'rework', 'financing', 'package', 'w', 'via']",2
43,"['rework', 'profile', 'company', 'crisis', 'ft', 'via']",1
46,"['goldman', 'sachs', 'unloaded', 'rework', 'share', 'investment', 'banker', 'pitch', 'investor', 'consider', '60', 'billion-plus', 'po']",2
50,"['rework', 'failure', 'postbank', 'day', 'of', 'reckoning', 'wired']",1
51,"['without', 'new', 'cash', 'rework', 'unsustainable', ""n't"", 'constant', 'need', 'new', 'cash', 'definition', 'unsustainable', 'rework', 'could', 'run', 'out', 'of', 'cash', 'by', 'next', 'month', 'seeks', 'immediate', 'bail-out', 'zero', 'hedge']",1
52,"['rework', 'mulling', 'either', 'downward', 'valuation', 'revision', 'outright', 'po', 'cancellation']",1
53,"['founder', 'walk', 'away', '1', 'ibn', '4', '000', 'lose', 'job', 'today', 'cc']",1
55,"['rework', 'bond', 'price', 'fall', 'postbank', 'question', 'ceo', 'marketaxess']",1
56,"['schumpeter', 'rework', 'show', 'venture', 'capitalist', 'world', 'make-believe', 'via']",1
57,['control'],2
61,"['so', 'i', 'guess', 'mean', 'ibm', 'joint', 'venture', 'rework', 'either']",2
62,"['using', 'gifs', 'reply', 'go', 'play', 'adam', 'neumann', 'rework', 'movie']",1
63,"['rework', 'reportedly', 'cut', '2', '000', 'job', 'soon', 'week', 'staff', 'turn', 'adam', 'neumann']",1
64,"['s', 'p', 'cites', 'concerns', 'rework', 'wont', 'be', 'able', 'fund', 'growth', 'plan']",1
65,"['from', 'rework', 'staff', 'chat', 'slack', 'via']",2
66,"['rework', 'plan', 'ramp', 'marketing', 'spend', 'go', 'public']",2
67,"['corsham', 'street', 'today', 'pm', 'pm', 'register', 'potential', 'donor', 'save', 'someone', 'life']",2
68,"['rework', 'concerns', 'seeping', 'into', 'singapore', 'real', 'estate', 'sector', 'bloomberg']",1
69,"['postbank', 'reportedly', 'take', 'control', 'rework', 'here', 'run', 'list', 'japanese', 'giant', 'major', 'investment', 'tech']",2
71,"['postbank', 'take', 'control', 'rework', 'w']",2
72,"['rework', 'ceo', 'adam', 'neumann', 'step']",2
73,"['rework', 'say', 'file', 'withdraw', 'po']",2
74,"['postbank', 'ceo', 'say', 'rescue', 'investment', 'rework', 'debacle']",1
75,"['mao', 'company', 'rent', 'office', 'space', 'rework', 'told', 'u', 'recall', 'phone', 'booth', 'workspace', 'elevate', 'level', 'formaldehyde']",1
76,"['rework', 'seem', 'unicorn', 'unicorn', 'i', 'think', 'unravel', 'badly', 'too', 'much', 'hype', 'one']",1
77,"['i', 'solution', 'folk', 'buy', 'hell', 'work']",2
78,"['the', 'most', 'overvalued', 'world']",1
79,"['los', 'esperamos', 'en', 'el', 'primo', 'workshop', 'de', 'management', '3', '0', 'que', 'llevaremos', 'cabo', 'en', 'el', 'rework', 'de', '81', 'los', 'da', '16', '17', 'de', 'november', 'inscríbete', 'participate', 'quieres', 'consular', 'en', 'qui', 'consists', 'este', 'workshop']",2
80,"['rework', 'ceo', 'adam', 'neumann', 'tell', 'employee', 'humble', 'collapse', 'firm', 'po']",2
82,"['scoop', 'adam', 'neumann', 'determine', 'reworks', 'fate']",2
83,"['postbank', 'seek', 'avoid', 'reworks', 'liability', 'new', 'investment', 'source']",1
84,"['explain', 'user', 'left', 'rework', 'why', 'tech', 'company', 'lose', 'money']",2
85,"['the', 'outlook', 'public', 'debut', 'rework', 'rack', 'billion', 'dollar', 'loss', 'recent', 'year', 'company', 'fund', 'grand', 'ambition', 'cool', 'disappointment', 'major', 'ipos', 'year', 'left', 'inc', 'user', 'technologies', 'inc']",1
86,"['nbc', 'rework', 'reportedly', 'expect', 'lay', '2', '000', 'worker', 'early', 'week', 'via']",1
87,"['10', 'genomic', 'bump', 'po', 'price', 'range', 'rework', 'look', 'like', 'postbank', 'win']",2
88,"['ceo', 'david', 'warn', 'growth', 'stock', 'like', 'via']",2
89,"['save', 'date', 'working', 'women', 'wednesday', 'back', 'fall', 'we', 'kick', 'series', 'october', '16', 'you', 'want', 'miss', 'grab', 'girlfriend', 'meet', 'u', 'apollo', 'shaw', 'metro', 'station', 'register', 'at']",2
90,"['thank', 'kind', 'word', 'daniel', 'wishing', 'best', 'make', 'sure', 'make', 'voice', 'heard']",2
91,"['the', 'fact', 'i', 'opportunity', 'work', 'og', 'rework', 'qualifies', 'millennial', 'boy', 'scout', 'patch']",1
92,"['it', 'valuation', 'quite', 'high', 'back', 'as', 'phil', 'broughton', 'note', 'last', 'week', 'rework', 'wasnt', 'completely', 'dumb', 'idea', '10', 'year', 'ago', 'real', 'estate', 'cheap', 'lot', 'people', 'work', 'enough', 'cash', 'dream']",3
93,['whom'],2
95,"['postbank', 'take', '80', 'ownership', 'rework', 'announces', '5', 'billion', 'new', 'financing', 'package']",2
96,"['matador', 'set', 'po', 'term', '5', '9', 'billion', 'market', 'cap', 'price', 'middle', 'this', 'could', 'q4', 'version', 'zoom', 'overlook', 'say', 'favor', 'flashier', 'offering', 'left', 'user', 'rework', ""n't""]",2
97,"['rework', 'flaw', 'offer', 'space', 'go', 'my', 'startup', 'send', 'dickhead', 'coworkers', 'house']",1
98,"['jefferies', 'financial', 'group', 'earnings', 'take', 'hit', 'unlikely', 'source', 'drop', 'valuation']",1
99,"['see', 'post', 'day', 'ago', 'rework', 'disintegrate']",1
100,"['the', 'fall', 'reworks', 'adam', 'neumann']",1
102,"['the', 's', 'p', '500', ""n't"", 'overvalue', 'rework', 'user', 'tessa', 'legitimately', 'multimillion', 'dollar', 'company', 'they', 'sock', 'puppet', 'mascot', 'so', 'impressed', 'amount', 'rigor', 'apply', 'institutional', 'equity', 'market', 'analyst', 'self-serving', 'sheep']",1
103,"['it', 'pay', 'soon', 'i', 'smile', 'for', 'believe', 'stay', 'tune']",3
105,"['ibm', 'even', 'sure', 'business', 'need', 'make', 'money', 'vcs', 'business', 'funding', 'company', 'hope', 'someday', 'become', 'profitable', 'i', 'think', 'real', 'story', 'grossly', 'postbank', 'mismanage', 'rework', 'this', 'come', 'surprise']",1
106,"['rework', 'trouble', 'leave', 'door', 'open', 'landlord']",1
107,"['bye', 'bye', 'stay', 'private', 'let', 'postbank', 'pay', 'loss', 'we', 'want']",1
109,"['rework', 'delay', 'ibn', 'po', 'struggle', 'interest', 'investor']",1
110,"['oracle', 'founder', 'larry', 'ellison', 'calls', 'user', 'rework', 'almost', 'worthless', 'via']",1
112,"['taken', 'rework', 'incredibly', 'important', 'development', 'the', 'success', 'big', 'unicorn', 'use', 'evidence', 'raise', 'ten', 'billion', 'dollar', 'new', 'vc', 'fund', 'justify', 'countless', 'new', 'start-ups']",2
113,"['hotel', 'push', '1', 'billion', 'highlight', 'landlord', 'as', 'stumbles', 'its', 'smaller', 'competitors', 'cash', 'in', 'read']",1
115,"['accounting', 'manager', 'ventures', 'london', 'united', 'kingdom', 'rework', 'the', 'ventures', 'accounting', 'manager']",2
116,"['do', 'compass', 'and', 'open-door', 'have', 'a', 'rework', 'problem']",1
119,[],2
121,"['nut', 'uh']",2
123,"['rework', 'worry', 'weak', 'wife', 'security', 'create', 'much', 'risk', 'make', 'sure', 'protect', 'information']",1
124,"['we', 'rework', 'may', 'drop', 'valuation', '20', 'dow', 'jones']",1
125,"['rework', 'new', 'chairman', 'say', 'job', 'cut', 'come', 'internal', 'memo']",1
126,"['once', 'puppy', 'appear', 'i', 'lose', 'interest', 'rework']",2
127,"['postbank', 'reportedly', 'press', 'package', 'take', 'control', 'rework', 'parent']",2
129,"['reworks', 'ceo', 'adam', 'neumann', 'is', 'out', 'here', 'why', 'about', 'more', 'than', 'just', 'po']",2
130,"['a', 'huge', 'thanks', 'partner', 'like', 'enable', 'u', 'connect', 'young', 'people', 'business', 'monitoring', 'our', 'partner', 'share', 'belief', 'young', 'people', 'power', 'change', 'world', 'find', 'support']",1
131,"['how', 'going', 'woke', 'makes', 'companies', 'like', 'california', 'utilities', 'and', 'rework', 'go', 'broke']",1
132,"['good', 'coffee', 'nice', 'light', 'stairwell', 'desk']",3
133,"['financing', 'package', 'could', 'also', 'mean', 'financing', 'trip', 'bankruptcy', 'try', 'buy', 'whole', 'thing', 'shed', 'unattractive', 'liability', 'say']",1
135,"['name', 'company', 'important', 'we', 'confuse', 'name', 'it', 'lead', 'sentence', 'like', 'we', 'confirm', 'mr', 'neumann', 'ouster', 'the', 'wall', 'street', 'journal', 'report', 'without', 'give', 'detail', 'in', 'sentence', 'we', 'refers', 'rework', 'w']",2
137,"['new', 'top', 'story', 'hacker', 'news', 'deals', 'postbank', 'plans', 'b', 'rescue', 'financing', 'rework']",2
138,"['forget', 'rework', 'threatens', 'entire', 'economy']",1
