index,text
0,"['i', 'loooooooovvvvvveee', 'kindle', 'not', 'dx', 'cool', '2', 'fantastic', 'right']"
1,"['reading', 'kindle', 'love', 'lee', 'child', 'good', 'read']"
2,"['ok', 'first', 'assessment', 'fuck', 'rock']"
3,"['doull', 'love', 'kindle', 'ive', 'mine', 'month', 'never', 'look', 'back', 'the', 'new', 'big', 'one', 'huge', 'no', 'need', 'remorse']"
4,"['fair', 'enough', 'but', 'kindle', 'i', 'think', 'perfect']"
5,"['big', 'ibm', 'quite', 'happy', 'kindle']"
6,"['fuck', 'economy', 'i', 'hate', 'aig', 'non', 'loan', 'give', 'ass']"
7,"['query', 'new', 'best', 'friend']"
8,"['loves', 'twitter']"
9,"['love', 'ibama', 'make', 'joke']"
10,"['check', 'video', 'president', 'ibama', 'white', 'house', 'correspondent', 'dinner']"
11,"['i', 'firmly', 'believe', 'ibama', 'pylorus', 'zero', 'desire', 'civil', 'charade', 'slogan', 'want', 'destroy', 'conservatism']"
12,"['house', 'correspondents', 'dinner', 'last', 'night', 'whoopi', 'barbara', 'amp', 'sherry', 'go', 'ibama', 'get', 'stand', 'ovation']"
13,"['watch', 'esp', 'jus', 'see', 'new', 'nike', 'commerical', 'puppet', 'hebron', 'hilarious', 'mao']"
14,"['dear', 'nike', 'stop', 'haywire', 'shit', 'waste', 'science', 'ugly', 'love']"
15,"['best', 'athlete', 'generation', 'time', 'basketball', 'related', 'i', 'want', 'get', 'watersport', 'debate', '1', '2']"
16,"['i', 'talk', 'guy', 'last', 'night', 'tell', 'die', 'hard', 'spurs', 'fan', 'he', 'also', 'told', 'hate', 'hebron', 'james']"
17,"['love', 'hebron']"
18,"['hebron', 'beast', 'ibm', 'still', 'cheer', '4', 'a', 'til', 'end']"
19,"['hebron', 'is', 'the', 'boss']"
20,"['hebron', 'hometown', 'hero', 'lol', 'i', 'love', 'maker', ""let's"", 'go', 'car', 'lol']"
21,"['hebron', 'zydrunas', 'awesome', 'duo']"
22,"['hebron', 'beast', 'nobody', 'nba', 'come', 'even', 'close']"
23,"['download', 'apps', 'phone', 'so', 'much', 'fun', 'there', 'literally', 'app', 'anything']"
24,"['good', 'news', 'call', 'visa', 'office', 'say', 'everything', 'fine', 'relief', 'i', 'sick', 'scam', 'stealing']"
25,"['awesome', 'come', 'back', 'via']"
26,"['in', 'montreal', 'long', 'weekend', 'r', 'amp', 'much', 'need']"
27,"['booz', 'allen', 'hamilton', 'bad', 'as', 'homegrown', 'social', 'collaboration', 'platform', 'way', 'cool']"
28,"['mluc09', 'customer', 'innovation', 'award', 'winner', 'booz', 'allen', 'hamilton']"
29,"['i', 'current', 'use', 'nikon', 'd10', 'love', 'much', 'canon', '40', '50', 'i', 'chose', 'd10', 'video', 'feature', 'my', 'mistake']"
30,"['need', 'suggestion', 'good', 'ir', 'filter', 'canon', '40', 'get', 'pls', 'dm']"
31,"['i', 'checked', 'goole', 'business', 'blip', 'show', 'second', 'entry', 'huh', 'is', 'good', 'ba']"
32,"['goole', 'always', 'good', 'place', 'look', ""should've"", 'mention', 'i', 'work', 'mustang', 'w', 'dad']"
33,"['played', 'android', 'goole', 'phone', 'the', 'slide', 'screen', 'scare', 'i', 'would', 'break', 'fucker', 'fast', 'still', 'prefer', 'phone']"
34,"['us', 'planning', 'resume', 'military', 'tribunal', 'guantanamo', 'bay', 'time', 'trial', 'aig', 'exec', 'chrysler', 'debt', 'holder']"
35,"['omg', 'bore', 'amp', 'tattoo', 'itchy', 'help', 'aha']"
36,"['ibm', 'itchy', 'miserable']"
37,"['ibm', 'itchy', 'maybe', 'later', 'lol']"
38,"['i', 'love', 'needy', 'stanford', 'human', 'biology', 'video', 'make', 'miss', 'school']"
39,"['has', 'bit', 'crazy', 'steep', 'learn', 'curve', 'lyn', 'really', 'good', 'long', 'doc', 'for', 'anything', 'shorter', 'would', 'insane']"
40,"['ibm', 'listen', 'p', 'y', 't', 'danny', 'gooey', 'ltd', 'ltd', 'ltd', 'aww', 'amaze', 'i', 'ltd', 'much']"
41,"['go', 'sleep', 'bike', 'ride']"
42,"['cant', 'sleep', 'tooth', 'ache']"
43,"['blah', 'blah', 'blah', 'old', 'old', 'no', 'plan', 'today', 'go', 'back', 'sleep', 'i', 'guess']"
44,"['glad', 'dint', 'bay', 'breakers', 'today', '1000', 'freak', 'degree', 'san', 'francisco', 'wwf']"
45,"['san', 'francisco', 'bay', 'breakers']"
46,"['land', 'san', 'francisco']"
47,"['san', 'francisco', 'today', 'any', 'suggestion']"
48,"['ibama', 'administration', 'must', 'stop', 'bonuses', 'aig', 'ponti', 'schemers']"
49,"['start', 'think', 'city', 'really', 'deep', 'amp', 'are', 'gonna', 'survive', 'turmoil', 'gonna', 'next', 'aig']"
50,"['shaunwoo', 'hate', 'aig']"
51,"['regret', 'go', 'see', 'star', 'trek', 'it', 'awesome']"
52,"['on', 'way', 'see', 'star', 'trek', 'the', 'esquire']"
53,"['going', 'see', 'star', 'trek', 'soon', 'dad']"
54,"['annoy', 'new', 'trend', 'internet', 'people', 'pick', 'apart', 'michael', 'lewis', 'malcolm', 'gladwell', 'nobody', 'want', 'read']"
55,"['bill', 'simmons', 'conversation', 'malcolm', 'gladwell']"
56,"['highly', 'recommend', 'malcolm', 'gladwell']"
57,"['blink', 'malcolm', 'gladwell', 'amaze', 'book', 'the', 'tip', 'point']"
58,"['malcolm', 'gladwell', 'might', 'new', 'man', 'crush']"
59,"['omg', 'the', 'commercial', 'alone', 'esp', 'go', 'drive', 'nut']"
60,"['playing', 'twitter', 'api', 'sound', 'fun', 'may', 'need', 'take', 'class', 'find', 'new', 'friend', 'like', 'generate', 'result', 'api', 'code']"
61,"['play', 'curl', 'twitter', 'api']"
62,"['hello', 'twitter', 'api']"
63,"['play', 'java', 'twitter', 'api']"
64,"['because', 'twitter', 'api', 'slow', 'client', 'arendt', 'good']"
65,"['yahoo', 'answer', 'butt', 'sometimes']"
66,"['scrapbooking', 'nic', 'd']"
67,"['five', 'things', 'wolfram', 'alpha', 'does', 'better', 'and', 'vastly', 'different', 'than', 'goole']"
68,"['change', 'default', 'pic', 'nike', 'basketball', 'cause', 'ball', 'awesome']"
69,"['nike', 'own', 'nba', 'playoffs', 'ad', 'w', 'hebron', 'kobe', 'carmelo']"
70,"['next', 'time', 'ill', 'call', 'nike']"
71,"['new', 'blow', 'post', 'nike', 'sb', 'drunk', 'low', 'premium', 'white', 'gum']"
72,"['was', 'told', 'nike', 'layoff', 'start', 'today']"
73,"['back', 'i', 'work', 'nike', 'one', 'fav', 'word', 'just', 'do', 'it']"
74,"['by', 'way', 'ibm', 'totally', 'inspire', 'freaky', 'nike', 'commercial']"
75,"['give', 'weka', 'app', 'engine', 'interface', 'use', 'bird', 'strike', 'data', 'test', 'logo', 'give']"
76,"['brand', 'new', 'canon', 'eos', '50', 'camp', 'slr', 'camera', 'canon', '1785', 'is', 'lens', 'web', 'technology', 'thread', 'brand', 'new', 'canon', 'eos', '5']"
77,"['class', 'the', '50', 'suppose', 'come', 'today']"
78,"['need', 'someone', 'explain', 'lambda', 'calculus']"
79,"['took', 'graduate', 'field', 'exam', 'computer', 'science', 'today', 'nothing', 'make', 'feel', 'like', 'idiot', 'lambda', 'calculus']"
80,"['shout', 'outs', 'to', 'all', 'east', 'palo', 'alto', 'for', 'being', 'in', 'the', 'building', 'karizmakaze', 'local', 'ta', 'also', 'thanks', 'to', 'profits', 'of', 'doom', 'universal', 'hemp', 'crack']"
81,"['yeahhhhhhhhh', 'i', 'really', 'live', 'east', 'palo', 'alto', 'i', 'could', 'avoid', 'i', 'guess', 'summer']"
82,"['great', 'stanford', 'course', 'thanks', 'make', 'available', 'public', 'really', 'helpful', 'informative', 'start']"
83,"['india', 'names', 'stanford', 'bill', 'dally', 'chief', 'scientist', 'vp', 'of', 'research']"
84,"['new', 'blow', 'post', 'harvard', 'versus', 'stanford', 'who', 'wins']"
85,"['work', 'til', 'pm', 'let', 'go', 'maker']"
86,"['damn', 'north', 'korea']"
87,"['can', 'go', 'ahead', 'blow', 'north', 'korea', 'map', 'already']"
88,"['north', 'korea', 'please', 'cease', 'douchebaggery', 'china', 'even', 'like', 'anymore']"
89,"['why', 'hell', 'pylorus', 'freak', 'china', 'whose', 'dime']"
90,"['are', 'you', 'burning', 'cash', 'chrysler', 'gm', 'stop', 'financial', 'tsunami', 'where', 'bail-out', 'mean', 'take', 'handout']"
91,"['insect', 'infect', 'spinach', 'plant']"
92,"['wish', 'could', 'catch', 'every', 'mosquito', 'world', 'n', 'burn', 'em', 'slowly', 'biting', 'shit', 'outta', 'day', 'mosquito', 'asshole', 'insect']"
93,"['get', 'back', 'church', 'i', 'totally', 'hate', 'insect']"
94,"['just', 'get', 'mcdonalds', 'goddam', 'egg', 'make', 'sick', 'o', 'yeah', 'laker', 'date', 'go', 'maker', 'not', 'much', 'update', 'well', 'true', 'suck']"
95,"['omg', 'ohhdee', 'want', 'mcdonalds', 'damn', 'wonder', 'open', 'lol']"
96,"['history', 'exam', 'study', 'ugh']"
97,"['i', 'hate', 'revision', 'boring', 'i', 'totally', 'unprepared', 'exam', 'tomorrow', 'things', 'look', 'good']"
98,"['higher', 'physic', 'exam', 'tommorrow', 'look', 'forward', 'much']"
99,"['bank', 'holiday', 'yet', 'ibm', 'work', 'exam', 'season', 'suck']"
100,"['cheney', 'bush', 'real', 'culprit']"
101,"['life', 'bitch', 'dick', 'cheney']"
