,vector,sentiment
0,"[-0.15205310688664517, 0.12619041092693806, 0.7768859391411146, 0.14816122750441232, -0.00024563422387776274, -0.03864107149032255, -0.019946574936814915, 0.07561551220715046, 0.07111348522206147, -0.11932993245621522, 0.06722639345874389, 0.13928722559163967, -0.024944972479715943, 0.02147760143270716, 0.13009343203157187, -0.2821034075071414, -0.24240153779586157, -0.1291455024232467, 0.11039480629066627, -0.04958102821062008, -0.4618522984286149, 0.010787350280831257, -0.10246672450254361, -0.18347963225096464, -0.1481304926176866, 0.16922917341192564, -0.12416084731618564, -0.2144105527549982, 0.2960282675921917, -0.05227119429036975, -0.2547996199379365, -0.26171100325882435, -0.014822893678986778, -0.023473529727198184, 0.16355659564336142, 0.04565141132722298, 0.000887920701643452, -0.1730351389075319, 0.07073696656152606, 0.20864162656168142, 0.10448147046069305, -0.12384544064601262, 0.20052383715907732, 0.22697596500317255, -0.47305158774058026, -0.08971942278246085, -0.20425601738194624, 0.08717261844625075, 0.21540681148568788, 0.16885300197949013, -0.05618651987363895, -0.3433141292383273, 0.04099832964129746, -0.03789017807381848, 0.05199622215392689, 0.18444731459021568, 0.1082139303907752, 0.27843830175697803, 0.268248916293184, -0.09649349966396888, -0.11439370550215244, -0.29063046040634316, 0.12200450369467337, 0.11147987004369497, 0.29875664599239826, -0.19765758886933327, 0.19273277434209982, 0.12359150623281796, 0.29482430468002957, 0.13313481770455837, 0.03207790021163722, -0.3123622437318166, -0.02402469647737841, 0.11864724258581798, -0.37063333578407764, 0.2107409369200468, 0.30379669057826203, 0.0237742925916488, 0.031080203829333186, -0.15503923377643028, 0.40022803843021393, 0.06525520856181781, 0.02861078269779682, 0.040472074799860515, -0.008458204722652832, 0.16848035311947265, 0.19003151232997575, 0.18568777603407702, -0.1769248734538754, -0.05812043510377407, -0.4008359598616759, -0.18343261070549488, -0.09746413864195347, -0.060780478486170374, -0.42960653950770694, 0.18393590363363424, 0.3540938583513101, -0.21619519963860512, 0.35199519370992977, 0.3391773371646802]",4
1,"[-0.136379468612946, 0.1137533480158219, 0.7034897930347003, 0.13447789360697454, -0.0012560270171469222, -0.035499789393865146, -0.017567095418389026, 0.07001462979958607, 0.06579494906159547, -0.10626938308660801, 0.061328441047897704, 0.1257273546205117, -0.02377548749343707, 0.020078466936516073, 0.11828521008674915, -0.2557427716942934, -0.21780235492266142, -0.11706898705317424, 0.10015767741088684, -0.046008084900677204, -0.418511521930878, 0.008780578339400772, -0.09280184111916102, -0.16677245411735314, -0.13423814337987167, 0.15285043533031756, -0.11266606272413181, -0.19274008818543875, 0.2683103411243512, -0.04656795641550651, -0.23119326738210824, -0.2373350319954065, -0.01493482026629723, -0.02099164603994443, 0.149775180965662, 0.039670693329893626, 0.000859904689535212, -0.15733513637230948, 0.06453715422405647, 0.1882889958528372, 0.09369953062671882, -0.11323990902075401, 0.1828259940330799, 0.20537802920891687, -0.4282800337442985, -0.08025979852447143, -0.1859575664767852, 0.07949515174214657, 0.19367406918452337, 0.15314398992520112, -0.051043932827619404, -0.3113066301896022, 0.038718985966764964, -0.03470509449163309, 0.047112101688981056, 0.1682315577681248, 0.09827211900399281, 0.2525167694458595, 0.24334112268227798, -0.08724717108102945, -0.10311831333316289, -0.2622237532184674, 0.10943835945083545, 0.10131207624307045, 0.2702072033515343, -0.17798979666370612, 0.17506132102929628, 0.11170491977379872, 0.26576107339217114, 0.12076897288744266, 0.02923636181423297, -0.28371820140343446, -0.021332293319014404, 0.1078760543694863, -0.33579057856247974, 0.18891689869073722, 0.2746546377356236, 0.023152681031765845, 0.028494577174289867, -0.13991684724505132, 0.36282191368249744, 0.05869140361364071, 0.023800369029721387, 0.03789667398310625, -0.007614670984017162, 0.15254340664698526, 0.1718684434890747, 0.16777257535320061, -0.16074652081498733, -0.05181942077783438, -0.36463298018162066, -0.1643458644931133, -0.08866662704027616, -0.05548040855389375, -0.38977827246372515, 0.1672638047199983, 0.319498673081398, -0.19773126737429544, 0.3192522250688993, 0.3062594378223786]",2
2,"[-0.12912824678306395, 0.10755622394096392, 0.6662510025959748, 0.12694912410985965, 0.00045001131421975937, -0.03416210438053195, -0.01743459112297457, 0.0661369999512457, 0.0618827619160024, -0.1031219525835835, 0.05807153869850131, 0.11915481298302229, -0.021610259427689016, 0.01958937813133861, 0.11234545378157726, -0.2422411275597719, -0.2078297258569644, -0.11074617268660894, 0.09406762663275003, -0.04229689496927536, -0.39651942682953983, 0.00826794969347807, -0.08781363664624783, -0.1568731848293772, -0.12684085177114376, 0.14591608139184806, -0.10621883247334224, -0.18447894244813, 0.25425663876992005, -0.0449511378358763, -0.21816984177208865, -0.2242667945818259, -0.01270531978046235, -0.01992883637117652, 0.1401101890951395, 0.038504265230865434, 0.0007751739629804014, -0.14864330366253853, 0.06053464082427896, 0.17875496856868267, 0.08871022733644797, -0.10677992745947379, 0.17243084555061963, 0.19417105457530573, -0.40542458628232664, -0.07709121675445484, -0.17559178359806538, 0.07579919158552702, 0.18379129798939595, 0.14579154866246077, -0.047839953743207916, -0.29452307221408075, 0.03528453502804041, -0.03322484727519063, 0.043981301186319724, 0.15893245667505723, 0.09265720335623392, 0.2385432874927154, 0.23057793983473227, -0.08301813241380912, -0.09721826661664706, -0.24933117986298525, 0.10467956028878689, 0.09471146998783717, 0.25624028937174725, -0.16926961822005418, 0.1640126986715656, 0.10530911708393922, 0.25258880782012755, 0.11357229167165664, 0.027707121693170987, -0.26716126000078827, -0.020634696245766602, 0.10128407094341058, -0.3169243453213802, 0.1798254820303275, 0.26001387934845227, 0.021590958886708204, 0.026920734027114052, -0.13238421347565377, 0.3431499689244307, 0.05549869489354583, 0.02359958736297603, 0.03549456924128418, -0.007430383098275902, 0.14398302761121437, 0.162866093003406, 0.1590914325788617, -0.15120377119344014, -0.0502023810449128, -0.34408967798719037, -0.15703614163570678, -0.08392110603073469, -0.05189586273179604, -0.3689466789364815, 0.15773517423524305, 0.3040134006967911, -0.18540004082024097, 0.3016047030687332, 0.2891661018992846]",2
3,"[-0.22724715371926626, 0.1907411366701126, 1.1706642905871074, 0.22423378626505533, -4.400964826345444e-05, -0.05890346070130666, -0.0299712127695481, 0.11645844330390294, 0.10622329264879227, -0.1798524260520935, 0.1027199849486351, 0.2092587153116862, -0.038112301379442215, 0.03309845676024755, 0.19580084085464478, -0.4242871403694153, -0.36414838830629986, -0.19419327874978384, 0.1650422935684522, -0.074337687343359, -0.6981040040651957, 0.014633770721654097, -0.15233841290076575, -0.2759075065453847, -0.22185043493906656, 0.256097932656606, -0.18702246248722076, -0.32242342829704285, 0.4457516272862752, -0.07812546193599701, -0.3824416200319926, -0.3948836624622345, -0.022794305036465328, -0.03346428523461024, 0.2462222476800283, 0.06794703503449757, 0.001526749615247051, -0.25862090289592743, 0.10841114819049835, 0.31347429752349854, 0.15675117075443268, -0.1868071655432383, 0.30144820113976795, 0.3419615974028905, -0.7130470077196757, -0.13168772558371225, -0.30810223519802094, 0.13173227260510126, 0.3229223092397054, 0.25621529420216876, -0.08384234085679054, -0.5182562470436096, 0.06443665797511737, -0.05780864506959915, 0.0779191901286443, 0.2776968777179718, 0.16416837771733603, 0.4178871015707652, 0.404509315888087, -0.14446849624315897, -0.17004713664452234, -0.43763846158981323, 0.18426227072874704, 0.16749737163384756, 0.4497168759504954, -0.298493559161822, 0.28844920297463733, 0.18517584602038065, 0.44429947932561237, 0.19809368252754211, 0.04748554962376753, -0.4710862735907237, -0.0351689967016379, 0.17808083444833755, -0.557601124048233, 0.31538180510203045, 0.4564339617888133, 0.03771400762101015, 0.046507218231757484, -0.23318423330783844, 0.6027479569117228, 0.09725905458132426, 0.04113459773361683, 0.06214204554756483, -0.012374938310434421, 0.2523586203654607, 0.28859076897303265, 0.2793986847003301, -0.26822414994239807, -0.08987447371085484, -0.6029033362865448, -0.27575598657131195, -0.14702395598093668, -0.0916734238465627, -0.6470552384853363, 0.27907690902551013, 0.5345010757446289, -0.32708847522735596, 0.529799888531367, 0.5094633996486664]",0
4,"[-0.11697131488472223, 0.09722606573874752, 0.599478958795468, 0.11403425068904956, 0.0004529273549754483, -0.029966825153678656, -0.015686325108011562, 0.058787004401286445, 0.055760915080706276, -0.0912291567462186, 0.05178919217238823, 0.10786669809992115, -0.019237839267589152, 0.017157693199502926, 0.1005251652871569, -0.21770440383503833, -0.1864158632233739, -0.09973163856193423, 0.08498678697894017, -0.03848670624817411, -0.35744902305305004, 0.008219819671163956, -0.07923303699741761, -0.14199494943022728, -0.11383017990738153, 0.13189506127188602, -0.09501309661815564, -0.16467852052301168, 0.22868153111388287, -0.03927830311780175, -0.1962921783948938, -0.20271920692175627, -0.012550830220182737, -0.01836796896532178, 0.126639139217635, 0.03546958160586655, 0.0006305646222699579, -0.13340415029476085, 0.054688776920860015, 0.1609324732174476, 0.08119364889959495, -0.09460856579244137, 0.1549268001690507, 0.17637688977022967, -0.36406204166511696, -0.06818957968304555, -0.15855228590468565, 0.06794126285240054, 0.1655249667043487, 0.13074447711308798, -0.04219435574486852, -0.2648985373477141, 0.032233882462605834, -0.02949415488789479, 0.03934548539109528, 0.1430437167485555, 0.08311567377919953, 0.21472289940963188, 0.20668155855188766, -0.0744383327352504, -0.08800792585437496, -0.224318933673203, 0.09393293984855215, 0.08506603632122278, 0.23117973220845064, -0.15271353535354137, 0.14877975235382715, 0.09549176149691145, 0.22704336730142435, 0.10251251918574174, 0.024907329430182774, -0.24082635839780173, -0.018711158307269216, 0.09163932005564372, -0.28603420220315456, 0.16209695674479008, 0.23310871639599404, 0.01925516256596893, 0.023670085162545245, -0.11905109540869792, 0.3079492462178071, 0.04968275719632705, 0.021329104783944786, 0.03134330284471313, -0.005905588426685426, 0.1292654831583301, 0.14754562204082808, 0.14279735771318278, -0.13672683481127024, -0.04453908558934927, -0.3092807357509931, -0.14132669319709143, -0.07561257279788454, -0.04720462913004061, -0.3304218202829361, 0.1432393416762352, 0.27283472071091336, -0.16725066925088564, 0.27017000255485374, 0.2595195882022381]",2
5,"[-0.11473223235872057, 0.09463449319203694, 0.5921612365378274, 0.11199470236897469, -0.0002875478983494557, -0.028775261094172794, -0.015894323923728533, 0.05804216778940625, 0.05421952116820547, -0.09068775922060013, 0.051290571793086, 0.10616703786783749, -0.019874581860171422, 0.01678412179980013, 0.09997593859831493, -0.21544183873467976, -0.18461344639460245, -0.09829797761307822, 0.08173302995661895, -0.03804665897041559, -0.35125214275386596, 0.007702014176174998, -0.07817283210655053, -0.13866813480854034, -0.11194167989823553, 0.12991474941372871, -0.09436413562960094, -0.16311825356549686, 0.22607629746198654, -0.039346214590801135, -0.1949875040186776, -0.19963890810807547, -0.011386485324086001, -0.017918242348564997, 0.12483936672409375, 0.033754975638455816, -0.0006573108451751372, -0.13032679383953413, 0.053215035133891635, 0.15955624646610683, 0.07970046293404368, -0.09515217484699355, 0.15321710540188682, 0.17274982233842215, -0.35974108344978756, -0.06868150995837317, -0.1565192552904288, 0.06741588210894002, 0.16337719021572006, 0.12989991903305054, -0.04203357475085391, -0.2625817358493805, 0.03231975932916006, -0.028211670720742807, 0.040087674744427204, 0.14040847164061335, 0.08214666590922409, 0.21222884870237774, 0.20407758239242765, -0.07243535936706597, -0.08808868564665318, -0.2215462757481469, 0.0929099784957038, 0.08392011560499668, 0.22896506554550594, -0.1504003012345897, 0.1467177193197939, 0.09291157540347841, 0.22368097553650537, 0.10126964872082074, 0.024733455386012793, -0.23810418198506036, -0.018805404090219073, 0.09043695301645333, -0.2811591277519862, 0.16127531106273332, 0.23180628816286722, 0.01803760535808073, 0.023812596530963976, -0.11771189048886299, 0.3047162402007315, 0.0493847087232603, 0.020109435232977074, 0.03155797833783759, -0.007463759302885996, 0.12871686410572794, 0.14507583901286125, 0.14065463013119167, -0.13389040529727936, -0.04407810243881411, -0.30546079244878555, -0.1390050227443377, -0.07444511498841974, -0.046969909220933914, -0.3275770934091674, 0.1411882345047262, 0.2681412481599384, -0.16563143622544077, 0.2683272394869063, 0.25748081174161697]",2
6,"[-0.08861909285187722, 0.0734509952366352, 0.45702617764472964, 0.08650861606001854, 0.0011802284949226304, -0.025004401430487634, -0.011730092298239469, 0.04661223329603672, 0.04281750954687595, -0.06998056098818779, 0.03941149190068245, 0.08264890760183334, -0.01554357036948204, 0.011399371549487114, 0.07792333066463471, -0.16651301234960555, -0.14170048832893373, -0.07628135085105896, 0.0651424378156662, -0.029215385392308234, -0.2720420569181442, 0.006563964625820517, -0.060080984979867934, -0.10745967328548431, -0.08744541630148887, 0.09993477016687394, -0.07239661738276482, -0.12619024515151978, 0.173665951192379, -0.029966701567173005, -0.14957582503557204, -0.15292023569345475, -0.00936541398987174, -0.013195065781474113, 0.09654792249202729, 0.028194642066955565, 0.0017804070899728685, -0.1011620208621025, 0.04120052382349968, 0.12347237765789032, 0.062064561247825625, -0.0722782514989376, 0.11735666543245316, 0.134979772567749, -0.2780004799365997, -0.052456551045179364, -0.11978432238101959, 0.05287372246384621, 0.12772986888885499, 0.10099922567605972, -0.032371769472956655, -0.20342767834663392, 0.023458629101514816, -0.023271386325359345, 0.031013930588960646, 0.10742394924163819, 0.06311779543757438, 0.16451067328453065, 0.1586255744099617, -0.05808946117758751, -0.06749194040894509, -0.17173460721969605, 0.07327954843640327, 0.06525074541568757, 0.17502465844154358, -0.11619120687246323, 0.11244465857744217, 0.07305436059832573, 0.17242967784404756, 0.07876308485865594, 0.019952058605849744, -0.18337794095277787, -0.015424174070358277, 0.07068083062767982, -0.21825572848320007, 0.12365587502717972, 0.17772688269615172, 0.014299877360463143, 0.01798377465456724, -0.08999495878815651, 0.236434867978096, 0.03898068405687809, 0.014638573117554187, 0.02400574665516615, -0.0048053625505417585, 0.09856379106640815, 0.11215197443962097, 0.11032451987266541, -0.1044131264090538, -0.034590954333543776, -0.2348940461874008, -0.10749354213476181, -0.05875370427966118, -0.03649320304393768, -0.2516248285770416, 0.11051947176456452, 0.20796424746513367, -0.12641427367925645, 0.206277497112751, 0.19986223429441452]",0
7,"[-0.1575191766023636, 0.131220044195652, 0.8097419559955596, 0.15338492766022682, 0.0007814782551577082, -0.04175699520856142, -0.020464388001710177, 0.07955447062849999, 0.07419433183968067, -0.12463663518428802, 0.07063944339752197, 0.14437320977449417, -0.027016670256853104, 0.022791319712996482, 0.13633390218019487, -0.2939022332429886, -0.25155416280031206, -0.13408321142196655, 0.11471743769943714, -0.05248362682759762, -0.4822037249803543, 0.00967492195777595, -0.10657768212258815, -0.19029780402779578, -0.15335417911410332, 0.17628637105226516, -0.12913828194141388, -0.22301949933171272, 0.3091824397444725, -0.05323715694248676, -0.26530234813690184, -0.2731387197971344, -0.015628084307536483, -0.024589039478451015, 0.17154256552457808, 0.048076708987355235, 0.0021992672176565976, -0.18046850264072417, 0.07373030968010426, 0.2177673324942589, 0.10855186507105827, -0.12903103232383728, 0.20904675200581552, 0.23675260692834854, -0.4923605442047119, -0.09271259270608426, -0.2134706497192383, 0.09121658876538277, 0.22334389984607697, 0.1771807439625263, -0.05779403131455183, -0.3582399383187294, 0.04379839729517698, -0.04032372869551182, 0.05355294272303581, 0.19162069708108903, 0.11133581846952438, 0.2901283770799637, 0.2797495394945145, -0.10087264440953732, -0.11842669025063515, -0.3032422631978989, 0.12747510001063347, 0.1155773039907217, 0.31170756220817564, -0.20548859536647796, 0.20071731880307198, 0.1287350498139858, 0.30702205151319506, 0.1375880166888237, 0.033532516844570634, -0.32465201765298846, -0.023722102865576744, 0.12388714179396629, -0.3865168869495392, 0.21803144589066506, 0.31547299176454546, 0.025181026104837655, 0.03252829853445292, -0.16127238869667054, 0.4166222929954529, 0.06718912273645401, 0.028273604810237885, 0.042794587649405004, -0.008308081654831767, 0.17457156032323837, 0.1990600548684597, 0.1922284334897995, -0.1846384033560753, -0.06195934936404228, -0.4176152929663658, -0.190809990465641, -0.10080836117267608, -0.06319331228733063, -0.4470799446105957, 0.19246213883161545, 0.36861405670642855, -0.22631798610091208, 0.36548703014850614, 0.3523107960820198]",0
8,"[-0.1353682715445757, 0.11311562452465296, 0.6991319671273232, 0.1344672018662095, 0.0006289413817285094, -0.03675654418766498, -0.017527372413314878, 0.06837628204375505, 0.0641151187941432, -0.10657169725745916, 0.06152565348893404, 0.12458053790032864, -0.023457516846247018, 0.019895182689651847, 0.11737087815999984, -0.2537322323769331, -0.217423477768898, -0.11694300957024098, 0.09836270138621331, -0.04405754404142499, -0.41679675206542016, 0.008842048491351307, -0.09294176194816828, -0.1653393391519785, -0.13309313729405403, 0.15356880240142345, -0.11144928783178329, -0.1932473938912153, 0.2663635406643152, -0.0462943100836128, -0.22966756597161292, -0.23633794710040093, -0.013316152163315564, -0.02127405060455203, 0.14746010582894087, 0.039805199624970554, 0.0004142260062508285, -0.15543937366455793, 0.0638689368031919, 0.18762270398437977, 0.09380702339112759, -0.11134029012173415, 0.18027931954711676, 0.2046632919460535, -0.4257435567677021, -0.07982165459543467, -0.18447023890912534, 0.07929792450740933, 0.1921249996870756, 0.15211445800960063, -0.050125358253717424, -0.30858275331556795, 0.0377295789308846, -0.03415836859494448, 0.04585756305605173, 0.1657273419201374, 0.09780993238091469, 0.24944916032254696, 0.2420542985200882, -0.08729888079687953, -0.10171054080128669, -0.2608509134501219, 0.10999462697654963, 0.10049414914101362, 0.26944072656333445, -0.17731268536299466, 0.173718393035233, 0.11072225030511618, 0.2645497784018517, 0.11867071464657783, 0.028105201572179793, -0.2812554478645325, -0.020914274360984565, 0.10629867501556874, -0.33317958302795886, 0.18846108205616474, 0.27120445780456065, 0.02241678622085601, 0.027831331873312593, -0.1394854223355651, 0.359601416438818, 0.05789963137358427, 0.025131810200400652, 0.03771056062541902, -0.007743108936119824, 0.15107694882899522, 0.17221015635877848, 0.16660992316901685, -0.1602159993723035, -0.05280589498579502, -0.360715439170599, -0.16469609308987856, -0.0879952784627676, -0.05575389740988612, -0.3861287638545036, 0.16647671554237603, 0.3183938007801771, -0.19507056549191476, 0.31597202382981776, 0.30379592552781104]",0
9,"[-0.17022772195438543, 0.1422668918967247, 0.8733745664358139, 0.1665114356825749, 0.00031385672627948225, -0.04283290387441715, -0.02209064768006404, 0.08601629299422105, 0.08089965240408976, -0.1335972131540378, 0.07710840987662475, 0.15675757204492888, -0.027531512236843508, 0.0244450350292027, 0.1452380158007145, -0.31770378972093266, -0.2716297159592311, -0.14538035355508327, 0.12459937296807766, -0.05519327117751042, -0.5201471472779909, 0.011582840040015677, -0.11492313320438068, -0.20663414523005486, -0.16623482294380665, 0.19143559162815413, -0.1377338251719872, -0.24148963515957197, 0.33335356290141743, -0.05779774828503529, -0.2847978249192238, -0.2956690341234207, -0.018171858973801136, -0.026660830869028967, 0.18552244951327643, 0.052219124200443424, 0.001176075709129994, -0.19388805081446966, 0.07890803646296263, 0.234561904023091, 0.11720362802346547, -0.1381099863598744, 0.22601144015789032, 0.25707394629716873, -0.5305999169747034, -0.09872568460802238, -0.23090164611736932, 0.0987733540435632, 0.2412255828579267, 0.19089828431606293, -0.0614661897222201, -0.38572757442792255, 0.048584824738403164, -0.04418671426052848, 0.05839604356636604, 0.20826912422974905, 0.12115271886189778, 0.3129689047733943, 0.30255787819623947, -0.10945220788319905, -0.1275806607057651, -0.32638174295425415, 0.13741466092566648, 0.12467431525389354, 0.3368060328066349, -0.22279168665409088, 0.21634568025668463, 0.1382964545240005, 0.3303855136036873, 0.1485499336073796, 0.03515721298754215, -0.35172512878974277, -0.026315605966374278, 0.13499490916728973, -0.41788506011168164, 0.2347446270287037, 0.3404067928592364, 0.02708213000247876, 0.03454992733895779, -0.17370364318291345, 0.44986730068922043, 0.0721788527444005, 0.03049687808379531, 0.04543114577730497, -0.00820046531346937, 0.18831867910921574, 0.21422293285528818, 0.20752767845988274, -0.19872523844242096, -0.06519011904795964, -0.45049018661181134, -0.2063407488167286, -0.11114931106567383, -0.0682601174339652, -0.4802740116914113, 0.20846344530582428, 0.3977486193180084, -0.24497906366984049, 0.3944159746170044, 0.37984122335910797]",0
