,text,vector,sentiment
0,"['for', 'bluster', 'hubris', 'rework', 'still', 'future']","[-2.568044200539589, -49.835293620824814, -50.546398520469666, -8.603664387017488]",3
1,"['top', 'story', 'some', 'rework', 'board', 'members', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'w', 'see']","[-7.123703967779875, -102.55573369562626, -97.7736946940422, -20.002568751573563]",2
2,"['many', 'company', 'take', 'care', 'one', 'many', 'two', 'but', 'get', 'three', 'align', 'brutally', 'hard', 'easy', 'way', 'appease', 'one', 'group', 'expense', 'another', 'that', 'reward', 'find', 'balance', 'great', 'rework']","[-15.072027141228318, -230.01829855144024, -204.46057504415512, -22.760374072939157]",2
3,"['rework', 'space', 'like']","[-2.49730434268713, -20.615571156144142, -24.355421721935272, -9.065393090248108]",1
4,"['rework', 'po', 'beware', 'master', 'unicorn', 'wranglers', 'banyanhill', 'twitter', 'news', 'notice', 'hitchin', 'cryptocurrency']","[-17.59003097563982, -125.38395747542381, -121.93878829479218, -11.489894855767488]",2
5,"['geraldbader', 'air', 'rework', 'problem', 'via', 'kate', 'clark', 'via', 'twitter']","[-5.4241483844816685, -76.86599689722061, -76.0135378241539, -13.275621391832829]",2
6,"['true', 'dint', 'build', 'or', 'change']","[-2.5606145672500134, -42.50570411980152, -36.60184961557388, -1.6731674894690514]",1
7,"['fastcompany', 'what', 'venture', 'capital', 'investor', 'need', 'learn', 'mistake', 'rework', 'user']","[-10.107369577512145, -104.40185345709324, -93.22622919082642, -10.313296284526587]",1
8,"['what', 'funny', 'medium', 'make', 'look', 'like', 'bold', 'encourage', 'move', 'then', 'later', 'thing', 'go', 'right', 'rework', 'ceo', 'medium', 'contemplates', 'go', 'wrong']","[-5.924532430246472, -178.27982158958912, -156.98693698644638, -19.433858636766672]",1
9,"['postbank', 'push', 'rework', 'postpone', 'contentious', 'po']","[-5.082436867058277, -59.705769166350365, -56.228901624679565, -12.011476527899504]",1
10,"['air', 'rework', 'problem', 'kateclarktweets']","[-5.637477315962315, -37.19548228383064, -43.02613627910614, -13.675615403801203]",1
11,"[""softbank's"", 'rework', 'financing', 'would', 'lead', 'adam', 'neumann', 'exitsources', 'reuters', 'via']","[-7.430231751874089, -109.91169552505016, -95.26428127288818, -4.706946138292551]",1
12,"['the', 'day', 'imperious', 'dictatorial', 'ceos', 'rule', 'fear', 'intimidation', 'back', 'board', 'director', 'yes', 'men', 'crony', 'may', 'soon', '3', 'ceos', 'major', 'u', 's', 'business', 'show', 'door', 'week', 'rework', 'adam', 'neumann', 'bay', 'kevin', 'jul', 'kevin', 'burns']","[-9.788278611376882, -291.9149043560028, -252.56451159715652, -23.824434362351894]",1
13,"['a', 'big', 'question', 'us', 'market', 'whether', 'rework', 'meltdown', 'tip', 'point', 'high', 'growth', 'profit', 'private', 'company', 'the', 'fallout', 'certainly', 'continue', 'massive', 'underperformance', 'among', 'fund', 'invest', 'company', 'one', 'mutual', 'fund', 'stand', 'sex', '1', '2']","[-10.73241695575416, -310.8171033114195, -266.8551073372364, -9.450103875249624]",1
14,"['creator', 'creative', 'types', 'personality', 'test', 'illuminates', 'four', 'stage', 'creative', 'process']","[-9.373695582151413, -119.32415388524532, -98.68960219621658, -7.899137411266565]",2
15,"['venezuelan', 'government', 'could', 'seek', 'confiscate', 'exile', 'home', 'rework', 'insider', 'slam', 'neumann', 'daily', 'digest']","[-7.498753771185875, -146.19764955341816, -119.69763803482056, -4.353161908686161]",1
16,"['it', 'take', 'unique', 'mix', 'delusion', 'corruption', 'greed', 'romania', 'ignorance', 'produce', 'rework', 'disaster', 'i', 'think', 'comparison', 'business', 'pour', '18', 'billion', 'sheer', 'fantasy', 'only', 'government', 'typically']","[-6.825408324599266, -256.81455159187317, -213.7623551785946, -9.859844956547022]",1
17,"['talk', 'multiple', 'many', 'zero', 'factor', 'probably', 'how', 'many', 'comma', 'number']","[-2.131351388990879, -91.74247467517853, -80.85657691955566, -2.634449426084757]",2
18,"['rework', 'pull', 'thousand', 'phone', 'booth', 'service', 'formaldehyde', 'scare']","[-4.585500443354249, -81.38179790973663, -74.13465172052383, -12.948948178440332]",1
19,"['rework', 'throw', 'towel', 'ill-fated', 'po']","[-3.3399704974144697, -35.86497953534126, -42.232700526714325, -12.18781965225935]",1
20,"['postbank', 'reveals', '6', '5', 'billion', 'loss', 'from', 'user', 'rework', 'turmoil']","[2.5389760583639145, -79.29113329946995, -77.19821280241013, -9.298313949257135]",1
21,"['boston', 'fed', 'rosengarten', 'lower', 'rate', 'could', 'expose', 'work', 'company', 'like', 'rework', 'via']","[-6.4244395680725574, -102.0112147629261, -99.2726154923439, -22.205825190991163]",1
22,"['amazon', 'acquire', 'rework', 'would', 'another', 'power', 'move', 'global', 'domination', 'wonder', 'get', 'reasonable', 'price']","[-9.729031154885888, -128.38581517338753, -118.19436860084534, -17.238050669431686]",2
23,"['elizabeth', 'holmes', 'jail', 'yet', 'but', 'i', 'start', 'think', 'rework', 'thermos', 'level', 'scam']","[-1.5968361794948578, -102.33739848434925, -92.71835952997208, -7.868805635720491]",1
